date_time,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-07-10 06:04:27.161730,50.801110873744925,385.84269143319614,11004258.404785156,7994.550206035745,138829924.3984375,5622,27.0,1168.5863602668644
2024-07-10 06:04:47.449855,47.68339564195685,384.9551163391523,10860505.853515625,7946.872390415665,137166067.4326172,5558,24.0,1158.173461823573
2024-07-10 06:05:07.737980,40.984688100833154,375.25264614795515,10219833.644042969,7833.42313730694,132944869.74023438,5413,19.0,1130.934766493699
2024-07-10 06:05:28.261050,32.86370967741936,370.79141084838585,9964489.922363281,7799.598095223977,131631950.81640625,5342,12.0,1101.696071163825
2024-07-10 06:05:48.314230,28.705607776116214,368.1311889153823,9716235.908203125,7734.9175372530935,129374134.52441406,5249,9.0,1083.8702742772425
2024-07-10 06:06:08.603355,26.458804208502457,372.83717251805734,10306579.311523438,7962.450339020469,137107810.1142578,5545,5.0,1072.4573758339511
2024-07-10 06:06:28.891480,24.250451292458877,368.3465692736429,10131628.050292969,7970.914266714606,137202576.54492188,5578,2.0,1076.8702742772425
2024-07-10 06:06:49.179730,23.842474898525957,371.7356261609876,10556667.314941406,8152.819019073321,143493583.23046875,5834,1.0,1075.8702742772425
2024-07-10 06:07:09.464855,22.09202627643666,370.66690669139547,10506351.889160156,8164.872216320222,143836628.50683594,5850,0.0,1082.2831727205337
2024-07-10 06:07:29.754980,26.046864986114077,377.01720828877944,10870090.82421875,8211.533517616395,145728656.24609375,5866,4.0,1086.2831727205337
2024-07-10 06:07:46.649105,32.31748558000427,378.34976768696623,10674236.178222656,8118.297997861379,142487760.9423828,5685,9.0,1106.1089696071163
2024-07-10 06:09:19.195730,36.01774193548387,386.3148157839063,10650893.895507812,7886.0359333563465,135030019.3798828,5338,12.0,1109.1089696071163
2024-07-10 06:10:51.738355,40.30726874599445,384.169133835531,10977290.624511719,8048.779980928568,140543008.9873047,5536,15.0,1134.3476649369904
2024-07-10 06:12:24.282695,36.72420155949583,369.690764093489,9943814.599609375,7810.187712719212,131941878.81542969,5223,14.0,1103.696071163825
2024-07-10 06:13:56.826980,35.798037278359324,376.92401877882406,9923133.754394531,7654.570298095532,127108026.65136719,5042,15.0,1126.934766493699
2024-07-10 06:15:29.371275,39.226150929288615,382.86569449984023,9311861.034667969,7320.416756945012,116488864.02539062,4586,14.0,1155.5863602668644
2024-07-10 06:17:01.915435,45.14019707327494,372.8957452073209,9302045.711425781,7636.428060596014,125932112.76074219,5078,19.0,1123.5218680504076
2024-07-10 06:18:34.459720,43.55900982696005,372.2609054682147,8775505.257324219,7385.954391359334,117880149.79980469,4769,23.0,1171.9992587101556
