Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.899220525999999722e+02,0.000000000000000000e+00,1.848060610075704597e-08,0.000000000000000000e+00
3.899307873000000200e+02,0.000000000000000000e+00,1.848438169878003386e-08,0.000000000000000000e+00
3.899394919999999729e+02,2.651999999999999928e-11,1.848814432922072873e-08,4.903055876109337478e-19
3.899482267000000206e+02,2.511999999999999636e-11,1.849191992724371661e-08,4.645170285723621003e-19
3.899569213999999988e+02,0.000000000000000000e+00,1.849567823515700474e-08,0.000000000000000000e+00
3.899656560999999897e+02,1.104999999999999997e-11,1.849945383317996946e-08,2.044189648566386610e-19
3.899743607999999995e+02,0.000000000000000000e+00,1.850321646362068750e-08,0.000000000000000000e+00
3.899830954999999904e+02,0.000000000000000000e+00,1.850699206164365222e-08,0.000000000000000000e+00
3.899917902000000254e+02,0.000000000000000000e+00,1.851075036955696682e-08,0.000000000000000000e+00
3.900005249999999819e+02,0.000000000000000000e+00,1.851452601080518751e-08,0.000000000000000000e+00
3.900092296999999917e+02,0.000000000000000000e+00,1.851828864124590885e-08,0.000000000000000000e+00
3.900179643999999826e+02,1.853999999999999814e-11,1.852206423926887026e-08,3.433990709960448181e-19
3.900266591000000176e+02,4.160000000000000046e-12,1.852582254718218486e-08,7.706742179627788937e-20
3.900353938000000085e+02,2.210000000000000075e-12,1.852959814520514958e-08,4.095041190090338091e-20
3.900440985000000182e+02,2.080000000000000023e-12,1.853336077564586762e-08,3.854939041334340507e-20
3.900528332000000091e+02,1.440000000000000003e-11,1.853713637366883234e-08,2.669347637808311755e-19
3.900615379000000189e+02,0.000000000000000000e+00,1.854089900410955037e-08,0.000000000000000000e+00
3.900702627000000007e+02,2.210000000000000075e-12,1.854467032283036763e-08,4.098372141345511349e-20
3.900789674000000105e+02,2.271999999999999689e-11,1.854843295327108897e-08,4.214203966983190792e-19
3.900877021000000013e+02,2.209999999999999994e-11,1.855220855129405038e-08,4.100038089835984942e-19
3.900964068000000111e+02,8.840000000000000299e-12,1.855597118173477172e-08,1.640347852465353811e-19
3.901051315000000272e+02,1.988999999999999865e-11,1.855974245723032640e-08,3.691532774743111824e-19
3.901138361999999802e+02,8.320000000000000091e-12,1.856350508767102458e-08,1.544483623294229316e-19
3.901225709000000279e+02,1.784999999999999846e-11,1.856728068569400915e-08,3.314259602396380337e-19
3.901312755999999808e+02,2.340000000000000127e-12,1.857104331613470733e-08,4.345624135975521519e-20
3.901399802999999906e+02,0.000000000000000000e+00,1.857480594657542536e-08,0.000000000000000000e+00
3.901487050999999724e+02,7.019999999999999572e-12,1.857857726529624262e-08,1.304216124023796221e-19
3.901574097999999822e+02,0.000000000000000000e+00,1.858233989573696396e-08,0.000000000000000000e+00
