filter2_file,counts_under_contours
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.10.41.200_0983NB04.fits,256596180.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.12.30.865_0983NB04.fits,255831200.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.14.20.527_0983NB04.fits,256122500.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.16.10.191_0983NB04.fits,256778690.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.17.59.855_0983NB04.fits,256516130.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.19.49.520_0983NB04.fits,256314530.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.21.39.184_0983NB04.fits,257317920.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.23.28.848_0983NB04.fits,257552800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.25.18.513_0983NB04.fits,256304960.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.27.08.177_0983NB04.fits,257853630.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.28.57.842_0983NB04.fits,258610910.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.30.47.506_0983NB04.fits,258529820.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.32.37.170_0983NB04.fits,260299890.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.34.26.833_0983NB04.fits,259450860.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.36.16.498_0983NB04.fits,258267280.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.38.06.162_0983NB04.fits,257186000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.39.55.826_0983NB04.fits,258594340.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.41.45.489_0983NB04.fits,259108900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.43.35.153_0983NB04.fits,259087950.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.45.24.817_0983NB04.fits,259059400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.47.14.483_0983NB04.fits,257042880.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.49.04.146_0983NB04.fits,256137060.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.50.53.810_0983NB04.fits,257232300.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.51.13.232_0973NB04.fits,257457660.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.51.32.656_0973NB04.fits,257091920.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.51.52.829_0973NB04.fits,257113380.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.53.29.523_0973NB04.fits,260483900.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.55.06.963_0973NB04.fits,266451000.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.56.44.403_0973NB04.fits,266262400.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.57.21.396_0973NB04.fits,266994540.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.57.40.819_0973NB04.fits,267884030.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.58.00.244_0973NB04.fits,268477860.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.58.21.761_0973NB04.fits,268467800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.58.41.908_0973NB04.fits,269222370.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.59.02.740_0973NB04.fits,269689800.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.59.23.572_0973NB04.fits,268910820.0
SUT_T24_0956_000465_Lev1.0_2024-07-10T17.59.44.404_0973NB04.fits,268615040.0
