# Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity
2024-07-10 15:18:42.622000,51946430.412037954,7098409.5903751515,44854963.674127184
2024-07-10 15:18:54.622000,51911244.59033392,7084357.352009393,44833905.92886302
2024-07-10 15:19:06.623000,51903364.042987764,7084963.760309567,44825297.630846396
2024-07-10 15:19:18.622000,51888267.64799669,7060274.921789491,44834897.65842476
2024-07-10 15:19:30.630000,51849167.04730551,7042390.354468126,44813673.35154655
2024-07-10 15:19:42.623000,51851369.12822012,7046002.101471857,44812331.94430272
2024-07-10 15:19:54.623000,51866003.54451133,7045799.07150488,44827192.83458522
2024-07-10 15:20:06.622000,51833306.616777375,7036616.160310367,44803734.66426597
2024-07-10 15:20:18.622000,51819611.19309934,7033998.282556364,44792598.51428371
2024-07-10 15:20:30.622000,51840834.19056103,7040246.495478526,44807569.15965946
2024-07-10 15:20:42.622000,51841049.30185354,7053313.127580301,44794775.553428955
2024-07-10 15:20:54.623000,51844046.96324007,7048360.774980333,44802674.5522476
2024-07-10 15:21:06.623000,51825435.74702766,7041295.521994965,44791065.156336665
2024-07-10 15:21:18.615000,51829631.85632772,7035598.161074232,44800983.44470399
2024-07-10 15:21:30.622000,51760360.50446356,7012515.064685069,44754764.85302107
2024-07-10 15:21:42.624000,51768909.79942251,7001613.334693866,44774218.635808304
2024-07-10 15:21:54.622000,51750380.06416104,6987484.254484758,44769766.95603252
2024-07-10 15:22:06.622000,51763296.466835156,6992090.876153595,44778093.97113307
2024-07-10 15:22:18.638000,51752920.2007151,6991127.360877653,44768759.81616283
2024-07-10 15:22:30.622000,51764533.27431566,6994531.902292658,44777058.67225404
2024-07-10 15:22:42.623000,51747903.528167486,6991357.63399804,44763509.428004295
2024-07-10 15:22:54.623000,51757180.88572014,6995745.3497727895,44768418.37462847
2024-07-10 15:23:06.622000,51768325.1379608,6998342.539912797,44776932.34749851
2024-07-10 15:23:18.622000,51749893.047593735,7000427.120165553,44756426.71062661
2024-07-10 15:23:30.623000,51775065.29179295,7001293.425592177,44780771.25671878
2024-07-10 15:23:42.622000,51759819.96839519,6992864.09654636,44774017.31370121
2024-07-10 15:23:54.630000,51727121.767083496,6983294.752354933,44750761.593684554
2024-07-10 15:24:06.622000,51745702.775692165,6985414.499180579,44767340.06107226
2024-07-10 15:24:18.622000,51717534.247142024,6979388.629307653,44745111.9095044
2024-07-10 15:24:30.622000,51732030.715399936,6979229.701895151,44759936.91449846
2024-07-10 15:24:42.623000,51734612.05002025,6969955.098980462,44771583.25648738
2024-07-10 15:24:54.622000,51726396.64481888,6950631.664694241,44782842.961679555
2024-07-10 15:25:06.623000,51700152.68080817,6948176.431309322,44758977.71080828
2024-07-10 15:25:18.622000,51683243.32448758,6935867.921757459,44754502.338299505
2024-07-10 15:25:30.623000,51644662.46671205,6918633.836925701,44733006.64466143
2024-07-10 15:25:42.622000,51670502.1259462,6931418.844149908,44746192.98089579
2024-07-10 15:25:54.622000,51675779.35533556,6937449.2170680985,44745275.74377927
2024-07-10 15:26:06.622000,51673654.5565611,6928580.391529592,44752110.776647225
2024-07-10 15:26:18.623000,51669003.12842037,6925508.4329458,44750505.11492421
2024-07-10 15:26:30.622000,51674900.64891906,6954014.445550644,44727859.39443413
2024-07-10 15:26:42.622000,51724288.37559483,6979289.361520229,44752094.22964754
2024-07-10 15:26:54.622000,51765802.2014389,7012128.252948294,44760640.2305547
2024-07-10 15:27:06.653000,51779683.517838195,7031829.199052547,44754848.18639651
