Wavelength,Transmission,Matched_Intensity,Expected_Counts
3.895382152999999903e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.895469400000000064e+02,1.264000000000000107e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.895556746999999973e+02,6.890000000000000732e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.895643794000000071e+02,1.056000000000000024e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.895731140999999980e+02,6.399999999999999387e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.895818388000000141e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.895905736000000275e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.895993083000000183e+02,1.679999999999999950e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.896080130000000281e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.896167477000000190e+02,2.145000000000000089e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.896254723999999783e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.896342071000000260e+02,2.079999999999999861e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.896429418000000169e+02,4.160000000000000046e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.896516465000000267e+02,4.160000000000000046e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.896603812000000175e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.896691059999999993e+02,2.576000000000000010e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.896778406999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.896865454000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.896952800999999909e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897040147999999817e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897127095000000168e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897214442000000076e+02,4.691999999999999798e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.897301788999999985e+02,2.080000000000000023e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.897389135999999894e+02,1.679999999999999950e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.897476083000000244e+02,6.239999999999999261e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.897563430999999810e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897650777999999718e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897737824999999816e+02,1.784999999999999846e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.897825171999999725e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897912418999999886e+02,3.759999999999999811e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.897999465999999984e+02,2.928000000000000125e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.898086812999999893e+02,1.455999999999999935e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.898174159999999802e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.898261206999999899e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.898348454999999717e+02,2.170000000000000003e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.898435802000000194e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.898522848999999724e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.898610196000000201e+02,2.287999999999999944e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.898697142999999983e+02,2.210000000000000075e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.898784489999999892e+02,2.080000000000000023e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.898871836999999800e+02,5.850000000000000317e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.898958883999999898e+02,1.325999999999999964e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.899046230999999807e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899133178000000157e+02,1.972000000000000079e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.899220525999999722e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899307873000000200e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899394919999999729e+02,2.651999999999999928e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.899482267000000206e+02,2.511999999999999636e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.899569213999999988e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899656560999999897e+02,1.104999999999999997e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.899743607999999995e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899830954999999904e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
